9.850 
9.510 
9.610 
9.790 
9.510 
9.820 
9.780 
9.800 
9.740 
9.880 
9.610 
9.460 
9.750 
9.640 
9.710 
9.820 
10.000 
9.230 
10.000 
9.730 
9.820 
9.640 
9.710 
9.660 
9.790 
9.570 
9.780 
9.880 
10.040 
9.770 
9.730 
9.700 
9.740 
9.640 
9.650 
9.710 
9.570 
10.000 
9.910 
9.780 
10.100 
9.640 
9.790 
9.660 
9.760 
9.730 
9.670 
9.580 
9.830 
9.790 
9.750 
9.650 
9.880 
9.730 
9.750 
9.780 
9.790 
9.600 
9.610 
9.670 
10.010 
9.740 
9.800 
9.540 
2018.10.19 21:21:45.396, LVPS_50, Reading= 10.961999523281, Threshold= 9.79
2018.10.19 21:22:32.104, LVPS_50, Reading= 9.9529619104687, Threshold= 9.79
2018.10.19 21:22:37.139, LVPS_50, Reading= 10.164689557031, Threshold= 9.79
2018.10.19 21:22:42.172, LVPS_50, Reading= 10.307753845312, Threshold= 9.79
2018.10.19 21:22:47.206, LVPS_50, Reading= 11.087888596875, Threshold= 9.79
2018.10.19 21:29:58.320, LVPS_50, Reading= 9.99302491125, Threshold= 9.99
2018.10.19 21:38:13.767, LVPS_50, Reading= 10.693046161406, Threshold= 10.19
2019.10.08 15:29:49.553, LVPS_13, Reading= 9.8575982184375, Threshold= 9.75
2019.10.08 15:32:42.017, LVPS_13, Reading= 9.8461480753125, Threshold= 9.75
2019.10.08 15:36:35.976, LVPS_13, Reading= 9.8366104560937, Threshold= 9.75
2019.10.08 15:36:41.010, LVPS_13, Reading= 9.8423355276562, Threshold= 9.75
2019.10.08 15:36:46.044, LVPS_13, Reading= 9.8461480753125, Threshold= 9.75
2019.10.08 15:36:51.079, LVPS_13, Reading= 9.8537856707812, Threshold= 9.75
2019.10.08 15:36:56.114, LVPS_13, Reading= 9.851873146875, Threshold= 9.75
2019.10.08 15:37:01.149, LVPS_13, Reading= 9.8575982184375, Threshold= 9.75
2019.10.08 15:37:06.182, LVPS_13, Reading= 9.8614107660937, Threshold= 9.75
2019.10.08 15:37:11.217, LVPS_13, Reading= 9.86522331375, Threshold= 9.75
2019.10.08 15:37:16.256, LVPS_13, Reading= 9.8709483853125, Threshold= 9.75
2019.10.08 15:37:21.292, LVPS_13, Reading= 9.86522331375, Threshold= 9.75
2019.10.28 14:15:46.610, LVPS_13, Reading= 9.7679470978125, Threshold= 9.75
2019.11.07 14:09:47.893, LVPS_13, Reading= 9.8480605992187, Threshold= 9.75
2019.11.07 14:09:52.929, LVPS_13, Reading= 9.8480605992187, Threshold= 9.75
2019.11.07 14:09:57.960, LVPS_13, Reading= 9.8480605992187, Threshold= 9.75
2019.11.07 14:10:02.999, LVPS_13, Reading= 9.8537856707812, Threshold= 9.75
2019.11.07 14:10:08.034, LVPS_13, Reading= 9.8575982184375, Threshold= 9.75
2019.11.07 14:10:13.069, LVPS_13, Reading= 9.8575982184375, Threshold= 9.75
2019.11.07 14:10:18.106, LVPS_13, Reading= 9.8614107660937, Threshold= 9.75
2019.11.07 14:10:23.146, LVPS_13, Reading= 9.86522331375, Threshold= 9.75
2019.11.07 14:10:28.180, LVPS_13, Reading= 9.851873146875, Threshold= 9.75
2019.11.07 14:10:33.213, LVPS_13, Reading= 9.8690358614062, Threshold= 9.75
2019.11.07 14:10:38.244, LVPS_13, Reading= 9.8537856707812, Threshold= 9.75
2019.11.07 14:10:43.275, LVPS_13, Reading= 9.8671358376562, Threshold= 9.75
2019.11.07 14:10:48.316, LVPS_13, Reading= 9.8633107898437, Threshold= 9.75
2019.11.07 14:10:53.349, LVPS_13, Reading= 9.8575982184375, Threshold= 9.75
2019.11.07 14:10:58.380, LVPS_13, Reading= 9.8614107660937, Threshold= 9.75
2019.11.07 14:11:03.409, LVPS_13, Reading= 9.8747609329687, Threshold= 9.75
2019.11.07 14:11:08.449, LVPS_13, Reading= 9.876673456875, Threshold= 9.75
2019.11.07 14:11:13.492, LVPS_13, Reading= 9.8728484090625, Threshold= 9.75
2019.11.07 14:11:18.570, LVPS_13, Reading= 9.8671358376562, Threshold= 9.75
2019.11.07 14:11:23.633, LVPS_13, Reading= 9.878573480625, Threshold= 9.75
2019.11.07 14:11:28.700, LVPS_13, Reading= 9.8747609329687, Threshold= 9.75
2019.11.07 14:11:33.829, LVPS_13, Reading= 9.8804860045312, Threshold= 9.75
2019.11.07 14:11:38.865, LVPS_13, Reading= 9.878573480625, Threshold= 9.75
2019.11.07 14:11:43.899, LVPS_13, Reading= 9.878573480625, Threshold= 9.75
2019.11.07 14:11:48.929, LVPS_13, Reading= 9.876673456875, Threshold= 9.75
2019.11.07 14:11:53.963, LVPS_13, Reading= 9.8804860045312, Threshold= 9.75
2019.11.07 14:11:59.017, LVPS_13, Reading= 9.8804860045312, Threshold= 9.75
2019.11.07 14:12:04.053, LVPS_13, Reading= 9.8804860045312, Threshold= 9.75
2019.11.07 14:12:09.126, LVPS_13, Reading= 9.878573480625, Threshold= 9.75
2019.11.07 14:12:14.244, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:12:19.308, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:12:24.341, LVPS_13, Reading= 9.8747609329687, Threshold= 9.75
2019.11.07 14:12:29.387, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:12:34.423, LVPS_13, Reading= 9.8823860282812, Threshold= 9.75
2019.11.07 14:12:39.484, LVPS_13, Reading= 9.8842985521875, Threshold= 9.75
2019.11.07 14:12:44.521, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:12:49.556, LVPS_13, Reading= 9.8842985521875, Threshold= 9.75
2019.11.07 14:12:54.594, LVPS_13, Reading= 9.8842985521875, Threshold= 9.75
2019.11.07 14:12:59.636, LVPS_13, Reading= 9.8842985521875, Threshold= 9.75
2019.11.07 14:13:04.667, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:13:09.701, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:13:14.757, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:13:19.845, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:13:24.917, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:13:29.949, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:13:35.023, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
