Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2023/01/01 00:44,24.9,38,9.6,24.9
2023/01/01 01:44,24.8,38,9.6,24.8
2023/01/01 02:44,24.6,38,9.4,24.6
2023/01/01 03:44,24.4,38,9.2,24.4
2023/01/01 04:44,24.4,38,9.2,24.4
2023/01/01 05:44,24.3,38,9.1,24.3
2023/01/01 06:44,24.3,38,9.1,24.3
2023/01/01 07:44,24.2,38,9.0,24.2
2023/01/01 08:44,24.2,38,9.0,24.2
2023/01/01 09:44,24.2,37,8.6,24.2
2023/01/01 10:44,24.5,37,8.9,24.5
2023/01/01 11:44,24.9,37,9.2,24.9
2023/01/01 12:44,25.3,37,9.6,25.3
2023/01/01 13:44,25.6,36,9.5,25.6
2023/01/01 14:44,25.9,36,9.7,25.9
2023/01/01 15:44,26.2,35,9.6,26.2
2023/01/01 16:44,26.1,35,9.5,26.1
2023/01/01 17:44,25.9,35,9.3,25.9
2023/01/01 18:44,25.8,36,9.6,25.8
2023/01/01 19:44,25.7,36,9.5,25.7
2023/01/01 20:44,25.5,36,9.4,25.5
2023/01/01 21:44,25.4,36,9.3,25.4
2023/01/01 22:44,25.3,35,8.8,25.3
2023/01/01 23:44,25.2,35,8.7,25.2
2023/01/02 00:44,25.1,34,8.2,25.1
2023/01/02 01:44,25.0,34,8.1,25.0
2023/01/02 02:44,25.0,33,7.6,25.0
2023/01/02 03:44,24.9,32,7.1,24.9
2023/01/02 04:44,24.8,32,7.0,24.8
2023/01/02 05:44,24.7,31,6.5,24.7
2023/01/02 06:44,24.7,31,6.5,24.7
2023/01/02 07:44,24.7,30,6.0,24.7
2023/01/02 08:44,24.7,30,6.0,24.7
2023/01/02 09:44,24.7,30,6.0,24.7
2023/01/02 10:44,24.9,30,6.2,24.9
2023/01/02 11:44,25.1,30,6.3,25.1
2023/01/02 12:44,25.3,30,6.5,25.3
2023/01/02 13:44,25.5,30,6.7,25.5
2023/01/02 14:44,25.6,30,6.8,25.6
2023/01/02 15:44,25.5,30,6.7,25.5
2023/01/02 16:44,25.5,30,6.7,25.5
2023/01/02 17:44,25.3,31,7.0,25.3
2023/01/02 18:44,25.2,32,7.4,25.2
2023/01/02 19:44,25.1,33,7.7,25.1
2023/01/02 20:44,25.0,33,7.6,25.0
2023/01/02 21:44,24.9,34,8.0,24.9
2023/01/02 22:44,24.8,35,8.3,24.8
2023/01/02 23:44,24.8,36,8.7,24.8
2023/01/03 00:44,24.7,36,8.7,24.7
2023/01/03 01:44,24.6,37,9.0,24.6
2023/01/03 02:44,24.5,37,8.9,24.5
2023/01/03 03:44,24.4,37,8.8,24.4
2023/01/03 04:44,24.2,37,8.6,24.2
2023/01/03 05:44,24.1,38,8.9,24.1
2023/01/03 06:44,23.9,38,8.7,23.9
2023/01/03 07:44,23.9,38,8.7,23.9
2023/01/03 08:44,23.7,38,8.6,23.7
2023/01/03 09:44,23.7,38,8.6,23.7
2023/01/03 10:44,23.6,38,8.5,23.6
2023/01/03 11:44,23.6,38,8.5,23.6
2023/01/03 12:44,23.6,38,8.5,23.6
2023/01/03 13:44,23.7,38,8.6,23.7
2023/01/03 14:44,23.8,38,8.7,23.8
2023/01/03 15:44,23.7,38,8.6,23.7
2023/01/03 16:44,23.7,38,8.6,23.7
2023/01/03 17:44,23.7,38,8.6,23.7
2023/01/03 18:44,23.7,38,8.6,23.7
2023/01/03 19:44,23.6,38,8.5,23.6
2023/01/03 20:44,23.6,38,8.5,23.6
2023/01/03 21:44,23.5,38,8.4,23.5
2023/01/03 22:44,23.5,38,8.4,23.5
2023/01/03 23:44,23.4,38,8.3,23.4
2023/01/04 00:44,23.4,38,8.3,23.4
2023/01/04 01:44,23.3,38,8.2,23.3
2023/01/04 02:44,23.1,38,8.0,23.1
2023/01/04 03:44,22.7,37,7.3,22.7
2023/01/04 04:44,22.3,36,6.5,22.3
2023/01/04 05:44,22.0,36,6.3,22.0
2023/01/04 06:44,21.8,36,6.1,21.8
2023/01/04 07:44,21.4,36,5.7,21.4
2023/01/04 09:37,20.4,35,4.5,20.4
2023/01/04 10:39,20.5,36,4.9,20.5
2023/01/04 11:39,21.0,37,5.8,21.0
2023/01/04 12:39,21.4,37,6.1,21.4
2023/01/04 13:39,22.0,38,7.1,22.0
2023/01/04 14:39,22.4,37,7.0,22.4
2023/01/04 15:39,22.8,37,7.4,22.8
2023/01/04 16:39,23.1,37,7.6,23.1
2023/01/04 17:39,23.3,36,7.4,23.3
2023/01/04 18:39,23.5,36,7.6,23.5
2023/01/04 19:39,23.6,36,7.7,23.6
2023/01/04 20:39,23.7,36,7.8,23.7
2023/01/04 21:39,23.8,36,7.9,23.8
2023/01/04 22:39,23.9,36,8.0,23.9
2023/01/04 23:39,23.9,36,8.0,23.9
2023/01/05 00:39,23.9,35,7.5,23.9
2023/01/05 01:39,24.0,36,8.0,24.0
2023/01/05 02:39,24.0,36,8.0,24.0
2023/01/05 03:39,24.0,36,8.0,24.0
2023/01/05 04:39,23.9,36,8.0,23.9
2023/01/05 05:39,23.9,37,8.4,23.9
2023/01/05 06:39,23.9,37,8.4,23.9
2023/01/05 07:39,23.9,37,8.4,23.9
