
Run, Periods, PTag, StartTime, EndTime, EBeam, Colliding, FirstStable, LastStable, LStableDel, LStableRec, LStableRecPercent, LReadyRec, LReadyRecPercent, LPeakStable, PeakMu, AvgMu, PeakMu, AvgMu, X, Y, Z, dX, dY, dZ
284484, J6, J, AllYear, data15_13TeV, 15/11/02 23:38, 15/11/03 07:31, 6500, 2232, 0, 507, 115.87, 105.091, 90.7%, 105.063, 90.7%, 4569.0, 14.6, 13.3, -0.568, -0.574, 2.3, 0.015, 0.014, 43.5
284473, J6, J, AllYear, data15_13TeV, 15/11/02 17:30, 15/11/02 23:20, 6500, 2232, 159, 366, 54.762, 51.089, 93.3%, 50.654, 92.5%, 4991.0, 15.9, 15.1, -0.569, -0.571, -0.6, 0.014, 0.014, 47.5
284427, J6, J, AllYear, data15_13TeV, 15/11/02 07:41, 15/11/02 12:01, 6500, 2232, 125, 270, 39.05, 36.909, 94.5%, 35.682, 91.4%, 4914.0, 15.7, 15.2, -0.57, -0.567, -3.0, 0.015, 0.015, 46.7
284420, J6, J, AllYear, data15_13TeV, 15/11/01 20:37, 15/11/02 02:30, 6500, 2232, 122, 379, 65.764, 60.388, 91.8%, 59.495, 90.5%, 4986.0, 15.9, 15.1, -0.57, -0.569, -1.9, 0.015, 0.015, 48.6
284285, J6, J, AllYear, data15_13TeV, 15/10/31 18:06, 15/11/01 16:49, 6500, 2232, 220, 1443, 271.365, 251.684, 92.7%, 251.193, 92.6%, 5015.0, 16.0, 13.0, -0.573, -0.572, -2.6, 0.015, 0.015, 42.4
284213, J6, J, AllYear, data15_13TeV, 15/10/30 19:02, 15/10/31 12:40, 6500, 2232, 40, 1035, 212.622, 204.864, 96.4%, 204.417, 96.1%, 4449.0, 14.2, 11.9, -0.58, -0.572, -3.2, 0.015, 0.014, 42.8
284154, J5, J, AllYear, data15_13TeV, 15/10/30 09:43, 15/10/30 13:45, 6500, 589, 100, 253, 11.147, 10.718, 96.1%, 10.208, 91.6%, 1383.0, 16.7, 15.6, -0.579, -0.566, -3.1, 0.013, 0.013, 45.9
284006, J4, J, AllYear, data15_13TeV, 15/10/29 01:58, 15/10/29 06:57, 6500, 2232, 162, 348, 43.772, 40.365, 92.2%, 39.736, 90.8%, 4680.0, 14.9, 14.3, -0.585, -0.569, -0.8, 0.015, 0.015, 46.9
283780, J4, J, AllYear, data15_13TeV, 15/10/28 00:01, 15/10/28 15:06, 6500, 2232, 279, 1075, 154.824, 148.723, 96.1%, 147.531, 95.3%, 4094.0, 13.0, 11.1, -0.587, -0.573, -4.0, 0.015, 0.014, 45.3
283608, J4, J, AllYear, data15_13TeV, 15/10/27 15:43, 15/10/27 18:51, 6500, 2029, 0, 192, 27.382, 26.194, 95.7%, 24.454, 89.3%, 2649.0, 9.3, 8.9, -0.588, -0.568, -2.2, 0.015, 0.014, 37.1
283429, J4, J, AllYear, data15_13TeV, 15/10/26 16:06, 15/10/27 15:24, 6500, 2029, 151, 1456, 256.21, 239.446, 93.5%, 239.089, 93.3%, 4411.0, 15.5, 12.1, -0.589, -0.57, -4.6, 0.015, 0.014, 42.2
283270, J3, J, AllYear, data15_13TeV, 15/10/26 10:20, 15/10/26 11:41, 6500, 2029, 8, 79, 15.522, 13.969, 90.0%, 13.504, 87.0%, 4474.0, 15.7, 15.4, -0.596, -0.564, -4.6, 0.014, 0.014, 46.6
283155, J3, J, AllYear, data15_13TeV, 15/10/24 16:14, 15/10/24 20:58, 6500, 1813, 142, 292, 31.565, 29.861, 94.6%, 29.498, 93.5%, 3974.0, 15.6, 15.0, -0.598, -0.564, -2.7, 0.014, 0.015, 48.2
283074, J3, J, AllYear, data15_13TeV, 15/10/23 22:00, 15/10/24 04:58, 6500, 1813, 119, 421, 62.344, 58.149, 93.3%, 57.626, 92.4%, 4062.0, 15.9, 14.8, -0.602, -0.567, -3.5, 0.014, 0.015, 46.2
282992, J3, J, AllYear, data15_13TeV, 15/10/23 01:15, 15/10/23 13:16, 6500, 1813, 128, 736, 118.819, 110.698, 93.2%, 109.305, 92.0%, 3891.0, 15.3, 13.3, -0.604, -0.565, -3.2, 0.015, 0.015, 45.1
282784, J2, J, AllYear, data15_13TeV, 15/10/21 22:17, 15/10/22 02:11, 6500, 517, 98, 241, 12.802, 11.913, 93.1%, 11.188, 87.4%, 1729.0, 23.8, 22.0, -0.598, -0.563, -0.9, 0.013, 0.013, 44.4
282712, J1, J, AllYear, data15_13TeV, 15/10/21 02:10, 15/10/21 12:00, 6500, 1813, 326, 838, 103.463, 97.13, 93.9%, 96.512, 93.3%, 4262.0, 16.7, 15.0, -0.605, -0.571, -1.3, 0.014, 0.014, 45.7
282631, J1, J, AllYear, data15_13TeV, 15/10/20 11:06, 15/10/20 15:27, 6500, 1596, 96, 287, 30.237, 27.781, 91.9%, 27.379, 90.5%, 3384.0, 15.1, 14.4, -0.603, -0.571, -2.6, 0.014, 0.015, 47.9
282625, J1, J, AllYear, data15_13TeV, 15/10/20 05:55, 15/10/20 09:46, 6500, 589, 33, 190, 12.74, 12.168, 95.5%, 10.984, 86.2%, 1484.0, 17.9, 17.1, -0.609, -0.57, -2.6, 0.014, 0.014, 46.9
282482, I3, I, AllYear, data15_13TeV, 15/10/18 15:50, 15/10/18 23:28, 6500, 1, 472, 500, 0.001, 0.001, 96.9%, 0.001, 55.9%, 1.0, 7.0, 6.7, -, -, -, -, -, -
282457, I2, I, AllYear, data15_13TeV, 15/10/18 10:47, 15/10/18 11:22, 6500, 671, 0, 35, 0.019, 0.017, 86.3%, 0.014, 70.3%, 10.0, 0.105, 0.103, -0.609, -0.815, -0.7, 0.142, 0.135, 52.5
282455, I2, I, AllYear, data15_13TeV, 15/10/18 03:34, 15/10/18 10:40, 6500, 671, 258, 431, 0.102, 0.085, 83.6%, 0.084, 82.6%, 10.0, 0.106, 0.105, -0.6, -0.81, -1.6, 0.142, 0.142, 52.2
282423, I2, I, AllYear, data15_13TeV, 15/10/17 19:14, 15/10/18 01:10, 6500, 329, 162, 360, 0.088, 0.087, 98.7%, 0.086, 98.0%, 8.0, 0.082, 0.082, -0.609, -0.806, -1.5, 0.154, 0.141, 53.9
282421, I2, I, AllYear, data15_13TeV, 15/10/17 17:31, 15/10/17 18:07, 6500, 671, 0, 41, 0.016, 0.014, 89.9%, 0.014, 89.9%, 9.0, 0.093, 0.093, -0.616, -0.798, -3.8, 0.152, 0.126, 43.6
282420, I2, I, AllYear, data15_13TeV, 15/10/17 11:21, 15/10/17 17:23, 6500, 671, 0, 362, 0.192, 0.188, 98.2%, 0.188, 98.2%, 9.0, 0.096, 0.094, -0.621, -0.796, -2.0, 0.142, 0.136, 46.3
282418, I2, I, AllYear, data15_13TeV, 15/10/17 07:28, 15/10/17 11:16, 6500, 671, 114, 232, 0.065, 0.063, 97.5%, 0.062, 95.0%, 9.0, 0.099, 0.097, -0.616, -0.797, -0.5, 0.136, 0.13, 48.7
282248, I2, I, AllYear, data15_13TeV, 15/10/16 20:16, 15/10/17 01:25, 6500, 671, 329, 492, 0.103, 0.101, 98.3%, 0.098, 95.4%, 12.0, 0.123, 0.118, -0.626, -0.809, -1.4, 0.128, 0.119, 52.1
282026, I2, I, AllYear, data15_13TeV, 15/10/15 23:47, 15/10/16 03:46, 6500, 671, 0, 242, 0.105, 0.102, 96.4%, 0.101, 96.4%, 8.0, 0.082, 0.081, -0.62, -0.788, -1.9, 0.143, 0.14, 53.4
